company_id,num_employees,amount_in,amount_out,transactions_in,transactions_out,num_customers,num_vendors,has_intuit_payments
155013490,1.0,1264.7,0.0,0.5,0.0,0.3,0.0,0
154755078,4.0,128846.5,138993.6,2.1,12.4,0.0,5.8,0
154878776,37.0,363687.1,368221.8,74.7,85.6,0.0,66.3,0
155124228,,41923.1,12140.2,15.0,99.1,4.9,52.7,1
155217829,4.8,19819.3,10082.3,55.0,57.4,16.8,38.3,1
154965970,,0.0,1589.8,0.0,1.3,0.0,1.3,0
155388256,,3638.1,3754.8,5.5,10.0,0.0,9.0,0
155406616,,0.0,0.0,0.0,0.0,0.0,0.0,0
155140860,,224596.9,148063.0,12.9,42.2,9.0,31.0,0
155171173,76.8,2500907.8,2487085.7,96.8,237.1,0.0,75.8,1
155292495,7.9,44958.0,25909.3,42.4,47.6,0.0,35.2,1
155292711,,5687.8,5630.2,1.5,5.7,0.6,4.3,1
155613620,,1876.0,3796.7,1.8,3.5,0.0,3.2,0
155709165,1.5,0.0,17005.6,0.0,79.7,0.0,33.3,0
155715861,7.0,25421.1,16009.3,26.8,63.3,11.9,37.1,0
155780086,1.0,18885.4,13857.5,4.7,33.1,3.0,23.3,0
155474513,,0.0,0.0,0.0,0.0,0.0,0.0,0
155932296,,3033.6,2411.7,8.3,37.0,3.3,14.2,0
156068090,1.0,123089.0,122803.9,6.5,45.8,0.0,28.0,0
156337807,,6920.0,0.0,2.6,0.0,2.3,0.0,0
156373015,,3122.6,0.0,3.1,0.0,2.5,0.0,0
156430760,10.0,40935.6,15898.3,15.3,42.9,6.3,18.8,1
156377983,,167.5,0.0,1.6,0.0,1.3,0.0,0
155933376,,4087.3,0.0,18.5,0.0,17.8,0.0,0
156817838,,57005.1,24624.0,66.3,28.8,46.5,17.3,0
156818270,3.7,54439.6,46420.8,137.8,42.7,104.3,25.6,1
156818918,4.0,276316.5,280165.6,80.3,122.4,24.0,67.6,0
155935104,2.0,14396.3,15054.7,3.1,90.0,0.0,9.8,0
156819782,1.0,7473.7,21466.9,0.3,31.4,0.3,0.0,0
156948016,16.5,84093.0,77867.0,105.7,70.8,0.0,24.4,0
157048313,,20512.0,0.0,7.5,0.0,4.0,0.0,1
156714444,,1419.1,49.3,5.2,1.7,3.8,1.1,0
157414655,7.1,48249.4,44758.8,30.0,48.3,24.1,22.7,0
157653195,,25.0,0.0,0.1,0.0,0.1,0.0,0
157654059,1.0,19665.2,12696.9,9.3,27.6,5.8,18.7,0
156099267,12.0,0.0,7905.8,0.0,12.2,0.0,10.2,1
156144484,12.0,267868.1,194786.6,86.1,89.5,0.9,61.4,0
157949623,23.0,17942.4,19584.4,15.4,155.4,1.0,82.8,1
157146091,,5352.9,5521.4,4.9,4.5,1.6,3.5,0
158358517,2.0,1105989.6,1093777.4,5.8,56.7,4.0,35.3,0
156377335,5.0,10046.1,0.0,1.3,0.0,0.1,0.0,1
159284740,1.0,4212.4,4672.3,1.7,9.7,0.3,8.2,0
158785412,7.2,42586.5,33929.6,15.3,93.6,0.8,13.4,0
157653627,61.3,0.0,166.7,0.0,0.1,0.0,0.1,1
157655355,25.1,0.0,89909.7,0.0,59.7,0.0,49.3,1
159732946,32.0,182933.1,111470.4,8.7,31.0,1.4,25.8,0
160063143,4.0,21626.6,10981.2,37.7,32.3,0.0,23.4,1
160399029,,5672.9,5854.2,16.5,99.9,2.4,53.6,0
160753850,,104.2,112.2,0.1,0.2,0.0,0.1,0
161139632,,0.0,0.0,0.0,0.0,0.0,0.0,0
158358949,4.0,3306.3,1568.2,1.8,3.8,0.0,2.7,1
158548600,19.3,15022.8,7991.2,7.3,9.5,0.0,6.9,1
162387987,1.1,85132.8,37197.0,104.7,40.5,59.7,28.5,1
159285604,1.0,4212.3,1643.6,3.9,3.0,1.8,1.3,0
163328177,13.0,30068.0,33097.9,4.2,66.8,0.4,35.2,0
159734242,3.0,58661.9,64346.5,24.9,87.3,0.7,53.6,0
164663294,95.9,125229.8,144564.2,44.3,236.0,0.0,68.6,0
164663726,,175.0,0.0,1.0,0.0,1.0,0.0,0
165249311,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0
165525651,,69917.4,42418.4,0.4,2.2,0.0,1.0,0
165788599,1.7,11015.0,4918.2,3.2,2.8,1.8,2.2,1
166011514,1.8,1542.4,208.6,4.9,2.0,0.0,1.6,0
166011730,,6686.8,4989.4,59.5,17.1,23.8,10.2,0
154530435,58.0,26587.6,25795.0,11.0,26.6,0.8,18.4,0
166193389,,29313.3,27146.2,4.6,13.4,3.9,6.7,0
166193605,7.7,35764.6,32391.9,2.3,23.6,1.2,17.4,0
166392976,1.0,8746.1,454.4,2.5,1.0,1.6,0.8,1
166592779,10.7,32190.3,30631.3,1.9,67.2,0.0,29.0,1
164059924,3.0,6368.2,0.0,33.6,0.0,31.6,0.0,0
167057474,1.0,652.3,2394.9,1.9,27.8,1.9,15.8,0
167262677,3.1,13213.8,15826.5,5.2,14.6,0.1,3.6,1
167262893,1.0,2391.9,2009.2,2.8,19.9,0.8,7.3,0
167773885,,3687.7,796.0,14.4,4.8,13.2,0.8,0
167774317,,3000.0,7333.4,0.3,1.9,0.0,1.8,0
165527595,3.8,15603.6,10420.9,45.8,23.3,0.8,11.5,1
168499800,1.0,11250.0,21882.8,0.8,29.9,0.0,13.9,0
155661788,1.0,0.0,923.2,0.0,0.7,0.0,0.5,0
168789389,,54063.8,24711.2,22.5,61.8,12.5,25.1,0
156606371,,37861.1,27380.7,4.7,28.6,0.0,25.0,0
169115050,21.1,868046.8,158565.2,42.5,83.7,26.8,46.3,0
169714027,11.5,7752.2,1686.0,1.0,2.1,0.7,1.0,0
156712716,,6552.0,5733.7,6.9,6.6,4.0,5.9,0
166593427,,32050.8,28766.7,1.0,5.8,0.1,3.8,0
169824044,17.0,22925.4,9611.2,6.3,7.0,4.4,4.7,0
169824260,8.8,38119.7,22594.4,32.8,38.2,1.0,14.5,1
170367077,10.1,58381.1,71469.5,65.8,195.5,38.8,76.1,0
170367725,,28195.6,0.0,18.2,0.0,14.9,0.0,0
170492935,1.0,23267.3,23135.6,8.3,13.7,6.8,11.1,0
155935752,1.0,22224.1,22165.0,19.4,106.1,0.1,51.3,0
170610296,,1072.0,1213.5,0.5,1.1,0.0,0.0,0
170828964,13.1,97876.6,43028.2,533.6,101.3,471.7,52.3,1
170955038,,2370.1,0.0,12.4,0.0,11.6,0.0,0
171510310,2.0,2125.0,1876.1,1.2,2.8,0.8,2.1,0
171858219,,701395.1,556513.6,12.8,118.2,0.7,63.1,1
172095463,,8493.1,0.0,4.6,0.0,4.5,0.0,0
172095679,2.0,471.5,216.8,0.3,0.3,0.2,0.1,0
172306066,,340258.7,189080.9,4.5,32.5,2.0,27.2,0
172306282,15.6,55154.5,57458.6,74.2,155.4,60.9,51.7,1
172403196,,0.0,0.0,0.0,0.0,0.0,0.0,0
172656208,,613.6,610.6,3.5,14.8,1.5,7.9,0
172656856,4.9,114702.0,75480.4,17.2,94.0,7.5,27.3,1
172655776,4.0,116258.2,0.0,34.3,0.0,16.1,0.0,0
172657504,,0.0,0.0,0.0,0.0,0.0,0.0,0
172780554,,546.5,8.3,0.4,0.1,0.3,0.0,0
173003685,1.0,9720.1,8868.1,4.1,26.3,2.0,8.5,0
173205432,,3207.2,0.0,25.3,0.0,12.4,0.0,0
173315522,,2584.3,2267.7,4.7,11.6,3.9,7.3,0
173476372,9.3,189212.8,81454.4,55.6,47.8,27.5,31.6,1
155936400,6.8,58744.3,63482.2,29.8,97.9,15.8,66.7,0
173938691,,1968.0,713.6,1.4,5.9,1.0,2.1,0
173939123,,2019.4,2.3,16.0,0.1,8.6,0.1,0
174766056,5.0,114257.2,103556.5,31.3,48.9,0.9,38.2,0
156947152,,13997.6,11805.8,1.0,3.2,0.8,2.0,0
176180229,,9127.8,9829.3,6.4,43.0,1.0,27.3,0
176213782,,7986.4,4854.0,4.7,3.4,0.0,3.3,0
176247046,,28161.1,20904.2,36.8,80.6,23.8,49.4,1
176298527,7.9,188824.1,75171.5,7.3,14.5,0.6,5.0,1
155936616,1.0,37026.9,45004.1,1.0,30.6,0.0,18.7,0
176441881,9.0,262773.0,226623.3,2.3,95.0,0.0,50.6,0
176442097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
172657720,1.0,3993.7,6910.3,3.1,9.3,0.0,5.6,0
176475866,,204.3,0.0,0.1,0.0,0.1,0.0,0
176530803,,52561.9,0.0,3.8,0.0,2.9,0.0,0
176579476,3.0,20709.9,19818.6,4.9,23.8,0.8,12.8,0
176681933,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
176729310,,144690.8,145143.3,10.8,88.8,2.5,46.3,0
176880008,,9201.1,0.0,47.0,0.0,43.9,0.0,0
176927601,1.0,65035.4,60373.2,6.1,58.1,0.0,25.1,1
176974114,,8151.6,0.0,9.7,0.0,6.7,0.0,0
155936832,31.0,729945.6,208138.2,56.8,115.5,21.1,73.9,0
177019258,2.0,52795.7,51323.1,6.8,44.0,3.8,26.8,0
177058427,,0.0,0.0,0.0,0.0,0.0,0.0,0
177166716,1.0,65114.8,16934.3,53.3,24.5,31.8,18.5,0
172658368,,11241.2,10852.1,13.3,47.8,1.6,29.8,0
169282164,,4526.8,8693.6,6.2,12.5,2.6,9.1,0
177371560,4.0,43916.0,51344.6,19.8,27.3,1.0,18.9,0
173204784,,6403.6,3245.9,11.9,13.3,4.9,1.8,0
173786049,3.0,63044.8,32178.9,58.0,37.0,40.2,21.3,0
174765192,46.7,992186.7,303648.3,22.7,370.0,7.1,145.8,0
176297447,,3244.6,2019.2,15.1,13.5,7.5,5.2,0
176927385,13.0,55158.5,42274.8,225.0,180.2,182.2,89.1,1
177575251,3.3,25996.5,22280.5,4.8,63.5,0.0,5.3,1
177442913,3.0,10072.1,11099.4,5.4,57.7,0.1,40.9,0
157222844,1.0,292727.5,264310.1,4.1,52.3,1.3,39.4,0
177534570,1.0,150.0,0.0,0.3,0.0,0.3,0.0,1
177794494,36.9,4711.1,5047.1,7.0,21.7,0.0,9.3,0
177839495,3.5,785.5,15481.7,0.7,42.4,0.1,26.0,0
177918624,,2999.4,2692.8,10.9,43.9,6.1,12.0,0
178112163,,0.0,0.0,0.0,0.0,0.0,0.0,0
178205548,,23837.7,19004.1,2.5,11.3,0.8,5.8,0
177654812,,0.0,1.7,0.0,0.1,0.0,0.1,0
178390231,19.0,79249.9,30628.9,11.8,32.3,3.3,22.7,0
178390663,16.8,2298.9,55963.5,1.6,90.8,0.0,34.6,0
155937264,,7336.0,5930.5,12.9,13.5,2.3,7.3,0
178820150,,2630.3,434.8,6.3,6.1,5.5,2.3,0
178665707,,3478.1,0.0,4.9,0.0,4.8,0.0,0
178826198,,5790.1,20531.4,0.8,73.9,0.3,30.8,0
178851902,,12755.7,12455.6,22.6,12.2,1.0,6.3,0
178940824,,5994.7,5738.3,3.7,28.9,0.0,10.1,0
179033561,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
179153587,3.0,4667.6,9741.0,1.3,8.7,0.8,4.1,0
179193115,,7413.6,967.8,7.0,1.3,1.0,1.3,0
179242436,1.0,658.5,0.0,8.2,0.0,6.8,0.0,0
179305581,150.5,10809.4,8893.0,4.0,42.3,3.1,1.2,0
179357494,,0.0,1.4,0.0,0.2,0.0,0.1,0
179421719,,1656.2,1567.3,7.3,4.8,7.0,3.0,0
179426903,1.0,478.7,252.0,1.3,0.6,1.1,0.1,0
179493288,23.0,0.0,26803.7,0.0,54.3,0.0,0.5,1
179538937,1.1,13612.8,5452.7,3.1,25.8,1.7,19.6,1
179723763,,2013.5,364.0,1.2,3.2,0.0,2.2,0
179759044,,934.6,0.0,0.8,0.0,0.5,0.0,0
179994128,16.9,181618.9,151299.7,1.5,32.8,0.0,18.8,0
180007520,3.0,6.4,7.5,0.2,0.3,0.0,0.1,0
180025448,,12135.1,11079.5,14.9,77.4,0.0,34.4,0
180031496,,389.7,599.8,0.2,2.3,0.1,2.3,0
180042512,30.7,87641.9,99868.1,83.3,175.3,5.9,99.8,0
180055761,2.0,4749.2,230.3,16.5,3.2,14.4,0.9,0
180084273,37.1,29138.1,31946.9,88.7,73.3,6.5,33.9,0
180091617,,1730.2,0.0,3.5,0.0,2.9,0.0,0
180190259,2.0,28632.5,24830.8,4.1,55.1,0.4,5.1,0
180193715,27.6,578735.6,584140.0,11.6,106.7,5.5,68.8,0
180205811,,3909.3,3938.3,0.8,7.5,0.1,7.0,0
180214019,,20319.2,15604.4,22.9,112.2,11.1,31.2,0
180225899,4.0,49663.4,13525.1,62.3,15.3,34.1,11.0,0
180338149,3.8,247714.9,84893.2,8.3,9.1,3.8,6.6,0
180398270,3.5,37768.2,21172.5,85.3,34.8,61.9,19.8,0
180399566,21.5,19296.6,36314.3,21.5,36.0,0.0,16.3,1
180444278,1.0,29527.6,14022.2,110.5,7.8,100.8,5.1,0
180481071,8.0,21474.0,18485.1,5.5,91.2,0.0,61.8,1
180503751,,31887.3,36450.8,71.4,148.3,0.0,15.2,1
180530392,1.0,12540.0,12168.0,7.3,11.6,0.0,4.7,0
180572944,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
180616649,,0.0,15462.9,0.0,5.1,0.0,4.4,0
180649554,,1586.9,1891.2,0.5,8.8,0.3,8.6,0
180652794,,2194.7,2252.0,6.5,5.2,5.7,5.0,0
180691674,,30203.7,15660.5,301.0,56.1,5.6,45.4,0
180706794,,6903.5,6043.2,8.1,38.5,0.0,20.7,0
180758491,,14403.7,14269.7,1.3,19.3,0.9,11.4,0
